epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,313.526,1.62203,2.09181,1.51605,0.57119,0.49616,0.51507,0.24809,1.46878,2.7172,1.30722,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,588.307,1.61548,1.63329,1.48384,0.46324,0.42421,0.39406,0.17712,1.67025,8.3677,1.49063,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,844.729,1.73754,1.79756,1.57428,0.47522,0.45678,0.42013,0.1801,1.68279,5.68286,1.50491,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,1094.97,1.77432,1.85053,1.61226,0.45961,0.45002,0.4071,0.18302,1.58134,7.67421,1.48659,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1346.32,1.70295,1.71628,1.5635,0.57383,0.51261,0.53531,0.25153,1.51363,3.85073,1.36689,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1596.69,1.64868,1.60591,1.53343,0.60523,0.53806,0.56952,0.27657,1.4722,2.5021,1.32472,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1846.89,1.61152,1.55679,1.50785,0.6091,0.54402,0.58224,0.29498,1.42525,2.57864,1.30873,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2097.76,1.5906,1.50496,1.48851,0.64616,0.57953,0.62261,0.32253,1.38691,2.36581,1.28274,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2347.38,1.55406,1.44091,1.45583,0.67374,0.58998,0.64558,0.33416,1.35876,1.81595,1.26643,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2598.88,1.53459,1.39945,1.44417,0.67177,0.58458,0.64559,0.34116,1.38022,1.611,1.27836,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2850.71,1.50768,1.35586,1.42427,0.68717,0.61441,0.6721,0.35756,1.34091,1.87142,1.24111,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3102.87,1.49921,1.3294,1.41676,0.68758,0.61145,0.67572,0.36672,1.32956,1.68067,1.23543,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3354.85,1.4797,1.3001,1.40779,0.70542,0.63123,0.6966,0.37085,1.31506,1.65988,1.2228,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3608.01,1.47264,1.27386,1.39553,0.69209,0.64409,0.69626,0.38,1.30555,1.6125,1.21174,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
